Log Mode	Log Freq	Timestamp	AccX	AccY	AccZ	GyroX	GyroY	GyroZ	MagnX	MagnY	MagnZ	qw	qi	qj	qk
5	100	1555487493	490.379	308.172	863.028	-40.73171	30.97561	45.85366	-642	-90	-83	0.1824825	0.3755608	0.1396832	0.8978546
5	100	1555487493	32.513	230.153	1015.406	23.90244	25.60976	40.73171	-177	-185	-321	0.9104997	0.09903257	0.03738517	0.3997314
5	100	1555487493	36.539	256.2	1012.051	-21.46342	3.780488	11.21951	-179	-185	-325	0.8810608	0.1126133	0.04239021	0.4574419
5	100	1555487493	65.331	241.194	1013.454	-30.2439	11.21951	6.341464	-180	-185	-325	0.8776292	0.1128269	0.0426954	0.4639119
5	100	1555487493	19.337	250.649	1004.121	-35.73171	12.92683	0.9756098	-178	-182	-328	0.8764619	0.1118198	0.04272591	0.4663534
5	100	1555487493	-12.322	250.039	993.995	-39.7561	12.56098	2.195122	-180	-180	-329	0.8758946	0.1105686	0.04260384	0.4677267
5	100	1555487493	-41.053	230.824	989.664	-41.34146	6.341464	3.414634	-178	-177	-332	0.8755633	0.1093783	0.04208503	0.4686728
5	100	1555487493	-111.142	226.188	945.927	-42.07317	-1.707317	7.073171	-177	-176	-335	0.875271	0.1087069	0.04104739	0.4694662
5	100	1555487493	-158.722	221.674	978.196	-36.70732	3.536585	17.31707	-179	-173	-337	0.8747651	0.1082797	0.04037599	0.4705649
5	100	1555487493	-35.38	217.038	989.908	-34.87805	-2.682927	18.17073	-180	-169	-340	0.8741655	0.1082797	0.03982665	0.4717246
5	100	1555487493	21.045	227.835	1036.451	-28.78049	0.8536586	16.95122	-180	-168	-342	0.8737713	0.1084017	0.03946043	0.4724571
5	100	1555487493	26.535	233.996	1061.644	-22.56098	0.2439024	15.60976	-182	-168	-344	0.8734091	0.10889	0.03955198	0.4730063
5	100	1555487493	56.669	234.911	1044.015	-21.46342	-7.926829	11.82927	-182	-165	-344	0.8732291	0.1097445	0.03933835	0.4731589
5	100	1555487493	38.491	233.935	1054.08	-19.26829	-13.29268	9.756098	-183	-163	-345	0.8731979	0.110538	0.0389111	0.4730674
5	100	1555487715	52.399	215.513	1011.929	-18.41463	-17.19512	5.609756	-185	-163	-347	0.8733208	0.1114841	0.03827021	0.4726707
5	100	1555487715	57.645	224.175	1015.162	-12.68293	-19.5122	4.146341	-186	-161	-349	0.8734387	0.1125217	0.03781243	0.4722434
5	100	1555487715	37.759	232.349	1046.76	-10.73171	-32.92683	-1.219512	-187	-162	-350	0.8736575	0.1138951	0.03701895	0.471572
5	100	1555487715	17.324	203.618	1053.409	-12.31707	-42.31707	-2.195122	-191	-161	-352	0.8740399	0.1152074	0.03555406	0.4706565
5	100	1555487715	-68.869	196.298	1071.221	-10.60976	-39.39024	6.341464	-193	-160	-351	0.8741105	0.1163976	0.03436385	0.4703208
5	100	1555487715	-102.602	176.046	1045.113	-2.439024	-35.97561	10.36585	-195	-159	-351	0.8738781	0.1174352	0.03381451	0.4705344
5	100	1555487715	-109.983	137.433	958.798	-13.04878	-23.17073	19.26829	-199	-159	-353	0.8734946	0.117954	0.03384503	0.4711142
5	100	1555487715	-12.749	172.447	977.586	-12.56098	-13.53659	22.68293	-204	-158	-353	0.8729432	0.1177099	0.0344554	0.4721518
5	100	1555487715	77.714	190.137	1012.6	-10	-3.04878	19.7561	-205	-158	-355	0.8725776	0.1170385	0.03552354	0.4729148
5	100	1555487715	142.862	215.818	979.172	-5.97561	0.1219512	11.70732	-206	-158	-354	0.8723925	0.1168249	0.03707999	0.4731895
5	100	1555487715	147.437	201.056	982.283	-4.756098	8.170732	10.36585	-206	-158	-354	0.8723875	0.116306	0.03878903	0.4731895
5	100	1555487715	94.245	207.278	965.569	-2.560976	-9.634147	6.463415	-207	-158	-355	0.8724666	0.1164281	0.03961303	0.4729453
5	100	1555487715	82.96	215.94	993.263	2.804878	-25.2439	2.073171	-208	-158	-354	0.8727229	0.1173437	0.03927733	0.472274
5	100	1555487715	31.476	249.612	874.557	10	-38.90244	11.58537	-211	-159	-354	0.8727648	0.1189917	0.03851436	0.4718467
5	100	1555487715	-26.779	995.459	142.923	-46.46342	-18.41463	56.21951	-215	-159	-354	0.8722	0.11948	0.03665273	0.4729148
5	100	1555487715	288.652	216.123	1115.202	-251.5854	65.73171	0.2439024	-216	-150	-364	0.8731068	0.1010773	0.03357036	0.4757531
5	100	1555487715	105.591	81.13	1101.172	-74.63415	-46.82927	20.2439	-213	-135	-375	0.8734976	0.09643849	0.03088473	0.4761803
5	100	1555487715	203.679	133.041	909.51	-73.29269	-38.53659	10.12195	-217	-130	-377	0.8737363	0.09897153	0.02822962	0.4753869
5	100	1555487715	131.333	90.951	1121.79	-96.34147	-30.36585	-3.902439	-220	-123	-384	0.8744746	0.09823908	0.02688681	0.4742576
5	100	1555487715	89.121	38.979	1136.491	-74.63415	-58.65854	-9.146341	-221	-118	-389	0.8753928	0.09887998	0.02465896	0.4725486
5	100	1555487715	66.917	58.804	1089.704	-55	-58.04878	-8.414635	-226	-113	-392	0.8759696	0.1013825	0.02316355	0.4710227
5	100	1555487715	2.684	68.808	1154.181	-62.56098	-58.90244	-20.85366	-228	-109	-395	0.8766176	0.1031831	0.02227851	0.4694663
5	100	1555487715	-139.69	25.864	1425.265	-49.39024	-68.41463	-19.5122	-232	-104	-398	0.8774079	0.1050142	0.02108829	0.4676351
5	100	1555487715	-372.466	41.236	1755.641	1.219512	-56.09756	4.634147	-238	-103	-399	0.8770317	0.108768	0.0217597	0.467452
5	100	1555487715	-103.761	-54.29	1520.425	24.14634	-72.56097	-10.60976	-241	-103	-399	0.8763592	0.1141087	0.0234077	0.4673605
5	100	1555487715	276.391	75.335	1039.074	69.63415	-89.14635	-33.41463	-248	-106	-399	0.8764061	0.1211585	0.02450636	0.4654378
5	100	1555487715	92.171	333.67	723.521	77.56097	-51.46342	-25.73171	-253	-111	-393	0.8762565	0.1278115	0.02768029	0.4637593
5	100	1555487715	23.485	292.983	710.345	20.36585	-18.65854	-26.09756	-255	-117	-389	0.8762239	0.1292764	0.03137303	0.4631794
5	100	1555487715	11.773	311.588	1011.075	-23.90244	-30.73171	-37.07317	-256	-116	-387	0.8769543	0.1263772	0.03265481	0.4625081
5	100	1555487715	74.481	176.534	1241.594	9.02439	-24.39024	-52.68293	-256	-117	-388	0.8780535	0.124424	0.03305154	0.460921
5	100	1555487715	-212.097	309.88	1158.634	226.0976	-188.7805	-55.2439	-258	-124	-381	0.8778422	0.1384625	0.03451644	0.4571978
5	100	1555487715	-111.569	432.49	782.081	95.12196	-129.7561	-52.19512	-268	-140	-368	0.8775471	0.1493271	0.03167821	0.4545427
