Log Mode	Log Freq	Timestamp	AccX	AccY	AccZ	GyroX	GyroY	GyroZ	MagnX	MagnY	MagnZ	qw	qi	qj	qk
5	100	1555487805	413.824	-254.431	820.572	71.21951	-13.29268	19.14634	-251	144	-456	0.0565764	-0.1541795	0.2485733	-0.9545885
5	100	1555487805	383.263	-147.254	1010.404	24.87805	2.195122	11.70732	-618	152	-247	0.09474512	-0.1932432	0.04702902	-0.9754326
5	100	1555487805	362.95	-128.649	995.764	40	-3.04878	21.09756	-618	152	-248	0.05745402	-0.1939451	0.0455031	-0.9782708
5	100	1555487805	391.925	-135.115	913.78	36.82927	3.780488	25.60976	-618	152	-247	0.04673619	-0.1939146	0.04409925	-0.9789117
5	100	1555487805	404.735	-150.731	890.478	33.29268	11.70732	30.36585	-617	151	-248	0.04218479	-0.1933348	0.04309214	-0.9792779
5	100	1555487805	445.361	-146.583	810.08	21.21951	23.04878	33.41463	-617	150	-248	0.03969294	-0.1922056	0.0428785	-0.9796137
5	100	1555487805	496.296	-139.141	815.265	4.756098	31.34146	33.04878	-617	152	-249	0.03880377	-0.1906186	0.04379406	-0.9799188
5	100	1555487805	654.164	-82.167	823.622	-0.7317073	31.46342	26.70732	-617	154	-251	0.03688867	-0.1892758	0.04510636	-0.9801935
5	100	1555487805	719.678	-85.461	777.384	3.04878	31.95122	17.19512	-615	154	-254	0.03591773	-0.1881771	0.0458388	-0.9804071
5	100	1555487805	679.54	-107.36	828.258	12.07317	31.70732	10.12195	-614	156	-255	0.03356024	-0.1873531	0.04577776	-0.9806513
5	100	1555487805	591.578	-111.508	863.15	22.43903	31.95122	10.48781	-610	158	-259	0.03306101	-0.1866817	0.04495376	-0.9808344
5	100	1555487805	483.669	-93.208	897.188	33.90244	27.31707	14.14634	-610	157	-261	0.03171856	-0.186285	0.04354991	-0.9810175
5	100	1555487805	403.21	-93.757	910.608	35.2439	13.90244	16.82927	-606	155	-262	0.03249914	-0.1866817	0.04193243	-0.980987
5	100	1555487805	327.021	-118.035	897.798	21.21951	6.95122	20.4878	-606	154	-263	0.03210519	-0.1878109	0.04147466	-0.9808038
5	100	1555488199	316.834	-98.759	896.761	8.902439	11.09756	25.60976	-605	153	-263	0.03266014	-0.1886654	0.0422071	-0.9805902
5	100	1555488199	383.385	-74.359	909.754	4.756098	10.97561	26.58537	-606	154	-263	0.03223766	-0.1891232	0.04330577	-0.9804682
