Log Mode	Log Freq	Timestamp	AccX	AccY	AccZ	GyroX	GyroY	GyroZ	MagnX	MagnY	MagnZ	qw	qi	qj	qk
5	100	1555432128	-32.94	132.309	1385.676	2.926829	-9.02439	-6.463415	-156	28	-227	0.8148463	0.03900265	-0.04831079	-0.576342
5	100	1555432128	139.08	-31.659	1044.259	1.341463	1.341463	0.3658537	-156	29	-229	0.7901962	0.04156621	-0.0511185	-0.609302
5	100	1555432128	15.311	-33.184	1025.227	-3.902439	0.9756098	0.3658537	-154	29	-228	0.7854776	0.04187139	-0.05157628	-0.6153142
5	100	1555432128	13.847	-35.807	1017.48	-4.02439	1.219512	0.2439024	-155	29	-227	0.7834041	0.04184088	-0.05175939	-0.6179388
5	100	1555432128	8.052	-35.258	1018.456	-2.560976	1.829268	0.1219512	-155	29	-227	0.7822112	0.04193243	-0.05185095	-0.6194342
5	100	1555432128	7.381	-34.953	1010.587	-3.170732	1.829268	0.8536586	-154	31	-228	0.7814534	0.04196295	-0.0519425	-0.6203803
5	100	1555432128	7.137	-31.171	1006.256	-3.170732	1.707317	0.3658537	-156	29	-228	0.7809179	0.04196295	-0.05197302	-0.6210517
5	100	1555432128	11.956	-36.478	1003.633	-3.04878	1.341463	0.6097561	-155	29	-229	0.7805236	0.04199347	-0.05203406	-0.62154
5	100	1555432128	8.967	-32.452	1010.404	-2.926829	1.463415	0.2439024	-156	30	-228	0.7802298	0.04199347	-0.05206458	-0.6219062
5	100	1555432128	8.296	-35.807	1010.953	-2.926829	1.463415	0.3658537	-156	29	-228	0.780007	0.04202398	-0.05209509	-0.6221808
5	100	1555432128	8.357	-35.868	1015.833	-2.804878	1.341463	0.4878049	-156	29	-227	0.7798365	0.04202398	-0.05209509	-0.6223944
5	100	1555432128	10.065	-33.855	1014.918	-2.804878	1.585366	0.3658537	-155	29	-229	0.7797128	0.04202399	-0.05212561	-0.6225471
5	100	1555432128	-4.209	-40.382	1006.988	-2.926829	1.219512	0.4878049	-155	28	-227	0.7796153	0.04202399	-0.05212561	-0.6226692
5	100	1555432128	0.915	-27.694	1014.918	-3.170732	1.585366	0.3658537	-154	30	-229	0.7795421	0.04202399	-0.05212561	-0.6227607
5	100	1555432128	7.869	-29.768	1013.881	-2.804878	1.585366	0.3658537	-154	29	-227	0.7794654	0.04205451	-0.05215613	-0.6228523
5	100	1555432128	1.891	-30.378	1012.966	-2.804878	1.097561	0.6097561	-154	30	-227	0.779441	0.04205451	-0.05215614	-0.6228828
5	100	1555432128	6.649	-32.269	1000.827	-2.682927	1.463415	0.6097561	-154	31	-228	0.7793922	0.04205451	-0.05215613	-0.6229438
5	100	1555432128	3.477	-28.914	1032.608	-3.170732	1.707317	0.7317073	-154	29	-228	0.7793679	0.04205451	-0.05215614	-0.6229744
5	100	1555432128	0.366	-36.6	1032.913	-2.926829	1.097561	0.2439024	-155	30	-227	0.7793413	0.04205451	-0.05218665	-0.6230049
5	100	1555432128	0.854	-40.199	995.703	-2.682927	1.707317	0.3658537	-156	31	-229	0.7793413	0.04205451	-0.05218665	-0.6230049
5	100	1555432128	5.185	-29.524	1018.822	-2.560976	1.463415	0.4878049	-155	29	-227	0.779317	0.04205451	-0.05218665	-0.6230354
5	100	1555432128	6.039	-31.964	1011.746	-2.804878	1.585366	0.6097561	-153	30	-228	0.7793153	0.04208503	-0.05218665	-0.6230354
5	100	1555432128	6.649	-28.121	1011.563	-2.926829	1.463415	0.6097561	-154	28	-228	0.7793153	0.04208503	-0.05218665	-0.6230354
5	100	1555432128	8.235	-29.646	1014.186	-2.804878	1.219512	0.4878049	-153	30	-228	0.7792909	0.04208503	-0.05218665	-0.6230659
5	100	1555432128	3.233	-39.65	1013.271	-2.682927	1.341463	0.6097561	-155	28	-227	0.7792909	0.04208503	-0.05218665	-0.6230659
5	100	1555432128	6.771	-33.672	1016.565	-2.804878	1.219512	0.3658537	-153	29	-227	0.7792925	0.04205451	-0.05218665	-0.6230659
5	100	1555432128	3.904	-39.711	1022.482	-2.804878	1.341463	0.6097561	-155	28	-228	0.7792909	0.04208503	-0.05218665	-0.6230659
5	100	1555432128	3.111	-29.402	1027.85	-2.682927	1.707317	0.1219512	-154	30	-227	0.7792909	0.04208503	-0.05218665	-0.6230659
5	100	1555432128	6.527	-35.624	1015.345	-2.682927	1.707317	0.3658537	-152	30	-228	0.7792909	0.04208503	-0.05218665	-0.6230659
5	100	1555432128	-2.562	-31.476	1002.23	-2.682927	1.585366	0.2439024	-155	29	-226	0.7792909	0.04208503	-0.05218665	-0.6230659
5	100	1555432128	6.039	-28.182	1018.7	-2.682927	1.829268	0.4878049	-155	28	-228	0.7792909	0.04208503	-0.05218665	-0.6230659
