Log Mode	Log Freq	Timestamp	AccX	AccY	AccZ	GyroX	GyroY	GyroZ	MagnX	MagnY	MagnZ	qw	qi	qj	qk
5	100	1555414552	687.836	380.823	580.354	-7.926829	8.04878	0.9756098	-592	122	-113	0.7880057	0.002899258	-0.4328745	-0.437788
5	100	1555414552	-812.703	-108.946	726.876	-11.70732	-81.82927	8.780488	125	60	-128	0.1839782	-0.4288766	0.002594073	0.8844264
5	100	1555414552	-812.52	-108.824	733.952	-37.07317	-145.4878	14.7561	123	59	-136	0.1289941	-0.4272286	0.0007019257	0.8948942
5	100	1555414552	-787.144	-45.628	616.954	-56.34146	-174.6342	23.04878	118	58	-145	0.113618	-0.4210334	-0.001770074	0.8998993
5	100	1555414552	-800.259	-137.433	411.689	-1.097561	37.07317	1.341463	113	57	-157	0.1072022	-0.4247871	-0.001251259	0.8989227
5	100	1555414552	-805.749	-137.799	716.018	-0.3658537	-9.390244	0.1219512	111	59	-158	0.1042392	-0.427839	3.051851E-05	0.897824
5	100	1555414552	-758.352	-146.522	617.198	-0.8536586	4.390244	0.3658537	111	58	-159	0.102585	-0.4295785	0.001037629	0.8971831
5	100	1555414552	-729.743	-123.342	724.375	-12.80488	3.658537	3.170732	109	58	-158	0.1008821	-0.4313791	0.001251259	0.8965117
5	100	1555414552	-743.59	-120.719	692.777	-12.56098	4.02439	2.682927	111	59	-156	0.09944198	-0.4325999	0.001098666	0.8960845
5	100	1555414552	-769.454	-128.344	708.149	-9.268293	10.48781	2.073171	110	59	-159	0.09864309	-0.4337291	0.001190222	0.8956267
5	100	1555414552	-750.483	-122.183	697.352	-7.560976	18.53659	1.097561	110	59	-157	0.09813876	-0.4351634	0.001403851	0.8949858
5	100	1555414552	-768.966	-124.074	702.049	-8.292683	23.53659	0.3658537	110	58	-157	0.0974693	-0.4366283	0.001617481	0.8943449
5	100	1555414552	-752.862	-124.257	706.563	-6.707317	31.70732	-0.2439024	112	59	-156	0.09719802	-0.4381848	0.001831111	0.8936125
5	100	1555414552	-756.583	-116.205	706.258	1.097561	43.29268	-1.707317	112	60	-154	0.09746502	-0.4399854	0.002380444	0.8926969
5	100	1555415325	-753.045	-127.124	700.463	12.68293	54.2683	-3.170732	112	60	-159	0.09795334	-0.4420911	0.003631703	0.8915982
5	100	1555415325	-752.496	-133.407	678.869	15.36585	65	-3.902439	115	60	-147	0.09836958	-0.444319	0.004821924	0.8904386
5	100	1555415325	-738.588	-118.645	671.122	14.26829	77.80488	-4.634147	116	60	-145	0.09911448	-0.4469436	0.005920591	0.8890347
5	100	1555415325	-773.968	-130.418	672.098	23.04878	97.43903	-6.219512	119	58	-139	0.09957885	-0.4500259	0.00717185	0.8874172
5	100	1555415325	-785.863	-119.499	670.207	25.2439	112.6829	-7.317073	122	58	-132	0.1003991	-0.4534135	0.008575701	0.8855861
5	100	1555415325	-792.024	-128.832	620.553	23.41463	138.6585	-8.902439	125	59	-125	0.1011099	-0.4573809	0.009796442	0.8834498
5	100	1555415325	-820.816	-107.238	549.854	8.536586	154.7561	-10.2439	130	60	-116	0.1015613	-0.4618976	0.01031526	0.8810388
5	100	1555415325	-830.881	-103.578	467.199	-13.17073	151.3415	-9.268293	135	59	-104	0.1008673	-0.4658345	0.009277627	0.8790551
5	100	1555415325	-842.166	-153.781	302.194	-42.92683	103.2927	-5.121951	139	60	-94	0.09956688	-0.4674215	0.006744591	0.8783838
5	100	1555415325	-860.344	-107.299	264.984	-172.1951	-117.8049	18.78049	142	62	-86	0.0940626	-0.459273	-0.002563555	0.8832972
5	100	1555415325	-843.325	-159.332	482.51	-38.90244	-156.8293	11.34146	142	64	-92	0.09143352	-0.4440138	-0.005829035	0.8913236
5	100	1555415325	-911.279	-178.73	678.686	44.63415	-139.6342	-0.6097561	138	65	-105	0.09316964	-0.431959	-0.003509629	0.897061
5	100	1555415325	-800.991	-137.311	654.164	41.58537	-85.36585	-4.146341	133	63	-114	0.09576538	-0.4250008	0.0002746666	0.9001129
5	100	1555415325	-785.375	-130.967	642.452	37.19512	-29.87805	-6.585366	130	62	-118	0.0980847	-0.4238105	0.003357036	0.9004181
5	100	1555415325	-811.178	-136.335	629.459	26.70732	-6.463415	-5.731708	129	61	-122	0.09949142	-0.4252754	0.005249184	0.8995636
5	100	1555415325	-762.378	-120.353	706.99	-9.268293	-17.07317	1.463415	130	60	-123	0.09915777	-0.4267708	0.005218665	0.8988922
5	100	1555415325	-772.931	-131.76	755.607	-12.07317	-20.4878	0.9756098	128	61	-124	0.09822345	-0.4272591	0.003753777	0.8987701
5	100	1555415325	-797.026	-129.015	584.136	-4.02439	-1.341463	-0.7317073	127	59	-125	0.09795943	-0.4285409	0.003295999	0.8981903
5	100	1555415325	-805.322	-139.019	499.712	-7.317073	8.780488	-0.3658537	127	60	-125	0.09765869	-0.4305246	0.003082369	0.8972747
5	100	1555415325	-804.712	-132.187	600.423	-4.390244	-3.536585	-0.2439024	128	62	-127	0.09745799	-0.4317148	0.002807703	0.8967254
5	100	1555415325	-801.662	-130.235	579.927	-0.6097561	-5.121951	-0.3658537	127	62	-125	0.09738059	-0.4321116	0.002929777	0.8965423
5	100	1555415325	-797.453	-128.832	625.982	-3.170732	-1.341463	0.2439024	127	61	-125	0.09745891	-0.4325999	0.002960295	0.8962981
5	100	1555415325	-795.928	-137.006	650.809	-4.390244	-0.8536586	0.3658537	126	62	-125	0.09740171	-0.4331187	0.002899258	0.896054
5	100	1555415325	-816.424	-136.457	589.138	-5.97561	0.1219512	0.6097561	126	63	-127	0.09718852	-0.4335459	0.002777184	0.8958709
5	100	1555415325	-815.082	-119.011	611.708	-3.902439	-1.219512	1.219512	128	62	-125	0.0970974	-0.4338816	0.002746666	0.8957183
5	100	1555415325	-810.873	-123.647	596.519	-3.04878	-2.560976	1.707317	125	61	-126	0.09697701	-0.4340342	0.002807703	0.8956572
5	100	1555415325	-816.363	-125.233	599.508	-2.073171	-3.902439	1.829268	126	60	-127	0.0971109	-0.4340037	0.002899258	0.8956572
