Log Mode	Log Freq	Timestamp	AccX	AccY	AccZ	GyroX	GyroY	GyroZ	MagnX	MagnY	MagnZ	qw	qi	qj	qk
5	100	1555432196	8.357	-38.369	1028.094	-2.804878	1.585366	0.2439024	-155	29	-227	0.7800424	-0.008728294	0.002716147	-0.6256599
5	100	1555432196	-368.928	-44.408	-853.329	30.12195	21.21951	26.21951	-267	134	624	0.3906976	0.2943205	0.8696249	-0.06695761
5	100	1555432196	-359.717	-52.216	-867.176	-2.804878	1.585366	-0.1219512	-267	133	624	0.2181792	0.3119602	0.9219642	-0.07113865
5	100	1555432196	-372.771	-52.704	-873.215	-2.804878	1.707317	0.2439024	-268	134	622	0.1989601	0.3132725	0.92584	-0.07138279
5	100	1555432196	-370.209	-48.434	-852.841	-2.560976	1.585366	0.2439024	-266	133	621	0.1911722	0.3137608	0.9273049	-0.07150487
5	100	1555432196	-378.444	-48.434	-850.279	-2.439024	1.95122	0.4878049	-267	134	623	0.1870006	0.314005	0.9280679	-0.0715659
5	100	1555432196	-360.266	-43.676	-847.29	-3.170732	1.829268	0.4878049	-267	134	624	0.1842371	0.3141881	0.9285561	-0.07159642
5	100	1555432196	-359.29	-40.992	-849.791	-3.04878	1.707317	0.4878049	-268	133	622	0.182367	0.3142796	0.9288919	-0.07162694
5	100	1555432196	-362.828	-46.482	-863.455	-3.04878	1.341463	0.3658537	-268	133	622	0.1809603	0.3143712	0.929136	-0.07162694
5	100	1555432196	-366	-41.785	-842.959	-2.682927	1.219512	0	-269	133	622	0.1801094	0.3144017	0.9292886	-0.07165746
5	100	1555432196	-366.732	-45.445	-856.013	-2.195122	1.219512	0.1219512	-266	132	622	0.1792012	0.3144627	0.9294412	-0.07168798
5	100	1555432196	-368.745	-41.907	-854.244	-2.195122	1.341463	0	-266	133	623	0.1787136	0.3144627	0.9295328	-0.0717185
5	100	1555432196	-372.344	-44.591	-853.451	-2.073171	1.341463	-0.1219512	-266	133	623	0.1783174	0.3144932	0.9295938	-0.07177953
5	100	1555432196	-377.468	-46.055	-857.782	-2.317073	1.585366	0	-268	132	621	0.1779989	0.3144932	0.9296548	-0.07177953
5	100	1555432812	-366.122	-46.665	-848.388	-2.439024	1.341463	0.6097561	-265	134	622	0.1776258	0.3145237	0.9297158	-0.07177953
5	100	1555432812	-368.806	-50.264	-843.752	-2.682927	1.829268	0.4878049	-267	132	621	0.177412	0.3145542	0.9297463	-0.07177953
5	100	1555432812	-368.989	-48.495	-847.778	-2.926829	1.585366	0.4878049	-267	135	622	0.1773701	0.3145848	0.9297464	-0.07174902
5	100	1555432812	-368.989	-53.192	-840.519	-2.926829	1.585366	0.4878049	-268	133	624	0.1772225	0.3145848	0.9297769	-0.0717185
5	100	1555432812	-365.939	-36.966	-833.138	-3.170732	1.585366	0.6097561	-268	131	623	0.1772348	0.3145848	0.9297769	-0.07168798
5	100	1555432812	-363.987	-41.541	-873.581	-2.926829	1.463415	0.2439024	-267	134	624	0.1770747	0.3145848	0.9298074	-0.07168798
5	100	1555432812	-361.425	-41.175	-868.579	-2.804878	1.585366	0.2439024	-266	135	621	0.177087	0.3145848	0.9298074	-0.07165746
5	100	1555432812	-362.279	-44.774	-847.778	-2.560976	1.95122	0.2439024	-268	134	624	0.1769144	0.3145848	0.9298379	-0.07168798
5	100	1555432812	-364.902	-43.676	-854.854	-2.439024	1.341463	0.1219512	-267	133	621	0.1769144	0.3145848	0.9298379	-0.07168798
5	100	1555432812	-367.891	-49.166	-827.77	-1.95122	1.585366	0.2439024	-268	133	622	0.1768896	0.3145848	0.9298379	-0.07174902
5	100	1555432812	-367.342	-52.033	-852.292	-2.073171	1.341463	0.1219512	-266	132	622	0.1768773	0.3145848	0.9298378	-0.07177953
5	100	1555432812	-373.137	-51.118	-847.046	-2.073171	1.341463	0.2439024	-268	133	621	0.1768648	0.3145848	0.9298379	-0.07181005
5	100	1555432812	-363.194	-53.436	-870.836	-2.439024	1.341463	0.1219512	-267	135	622	0.1768648	0.3145848	0.9298379	-0.07181005
5	100	1555432812	-360.937	-42.944	-842.593	-2.804878	1.707317	0.3658537	-267	134	623	0.1768104	0.3146153	0.9298379	-0.07181005
5	100	1555432812	-360.51	-43.249	-845.704	-2.560976	1.585366	0.4878049	-267	132	620	0.1768229	0.3146153	0.9298379	-0.07177953
5	100	1555432812	-360.876	-38.43	-849.791	-2.804878	1.585366	0.3658537	-268	134	622	0.1768352	0.3146153	0.9298379	-0.07174902
5	100	1555432812	-357.155	-44.896	-842.898	-2.682927	1.341463	0.3658537	-265	133	621	0.1768352	0.3146153	0.9298379	-0.07174902
