Log Mode	Log Freq	Timestamp	AccX	AccY	AccZ	GyroX	GyroY	GyroZ	MagnX	MagnY	MagnZ	qw	qi	qj	qk
5	200	1576222772	947.086	435.662	70.638	-6.824428	-14.24428	1.40458	-454	-490	-178	0.7926221	0.2549516	-0.5538499	-3.051851E-05
5	200	1576222772	969.168	387.777	88.877	6.183206	-12.29008	-7.969466	-454	-490	-177	0.7364606	0.2751243	-0.6179692	0.006805627
5	200	1576222772	989.603	380.335	78.751	11.70992	-4.961832	-7.450382	-454	-490	-177	0.7294651	0.2752464	-0.6261178	0.00982696
5	200	1576222772	954.894	418.033	88.328	17.87786	2.519084	-5.984733	-454	-492	-176	0.7234133	0.2771996	-0.6322215	0.0113834
5	200	1576222772	972.096	427.732	99.857	25.22137	5.40458	4.015267	-454	-492	-176	0.721948	0.2800073	-0.6326792	0.01019318
5	200	1576222772	947.391	418.277	55.083	32.07634	2.290076	9.328244	-454	-492	-173	0.7186599	0.2831202	-0.6350291	0.01043733
5	200	1576222772	932.934	424.621	47.397	33.75573	2.381679	13.29771	-454	-492	-173	0.716134	0.2855312	-0.6367992	0.01052889
5	200	1576222772	945.134	482.022	62.891	39.48092	8.412213	7.816794	-454	-492	-173	0.7134675	0.2896817	-0.6379285	0.009796442
5	200	1576222772	916.891	536.556	44.896	45.83206	1.435115	-2	-454	-492	-173	0.7115798	0.2949614	-0.6376537	0.007049776
5	200	1576222772	992.592	443.958	8.235	43.37405	-3.007634	-6.290076	-455	-493	-170	0.7074696	0.2993256	-0.6401868	0.007202368
5	200	1576222772	958.493	448.716	-15.616	41.22137	-4.152672	-4.961832	-455	-493	-170	0.7040412	0.3018891	-0.6427503	0.007812738
5	200	1576222772	958.554	457.683	-5.612	36.39695	-5.114504	-6.122138	-455	-494	-168	0.6997215	0.3055818	-0.6457106	0.008209479
5	200	1576222772	974.902	470.31	-38.613	34.44275	-5.465649	-6.931298	-455	-494	-168	0.6967621	0.3082675	-0.6476334	0.008056887
5	200	1576222772	981.246	470.371	-19.581	31.81679	-5.435114	-8.961832	-455	-496	-166	0.6930165	0.3117466	-0.6499832	0.007995849
5	200	1576222772	1004.426	460.916	-49.898	30.10687	-4.839694	-8.412213	-455	-496	-166	0.6908159	0.3133641	-0.6515397	0.008514664
5	200	1576222772	1010.648	432.673	-20.496	28.87023	-1.832061	-7.862596	-454	-498	-162	0.6875755	0.3147069	-0.6542863	0.01043733
5	200	1576222772	1030.717	427.854	-20.679	27.72519	0.5038168	-5.221374	-454	-498	-162	0.6862386	0.3148289	-0.6555986	0.01223792
5	200	1576222772	1047.492	415.41	-47.641	26	6.091603	-0.6870229	-455	-499	-161	0.6839597	0.3143407	-0.6581317	0.01586963
5	200	1576222772	1040.05	411.872	-28.792	24.87023	9.236641	3.40458	-455	-499	-161	0.6830707	0.3136387	-0.6593219	0.01843318
5	200	1576222772	1014.003	376.065	-17.629	22.58015	13.12977	7.419847	-455	-499	-161	0.6822456	0.3119297	-0.6608478	0.02282785
5	200	1576222772	1008.269	384.056	-3.416	21.08397	15.35878	9.679389	-455	-499	-161	0.6823322	0.310831	-0.6611836	0.02536088
5	200	1576222772	992.043	379.908	4.392	17.60305	17.55725	13.29771	-456	-499	-160	0.6830257	0.3092746	-0.6610614	0.0286874
5	200	1576222772	984.296	385.337	-2.806	15.74046	18.76336	15.09924	-456	-499	-160	0.6834855	0.3085421	-0.6608478	0.03048799
5	200	1576222772	930.311	412.177	30.5	13.46565	18.94657	18.38168	-455	-497	-160	0.6846137	0.3086947	-0.659566	0.03137303
5	200	1576222772	927.871	407.358	39.406	11.41985	18.29008	18.50382	-455	-497	-160	0.6858757	0.3087252	-0.6582232	0.03170873
5	200	1576222772	928.908	413.214	8.662	6.778626	16.39695	12.29008	-455	-497	-160	0.6867476	0.3094577	-0.6569719	0.03164769
