DOW,CUST_CLASS,COD_COUNTRY,COD_PRO,PRO_COM,VISITORS
Mercoledì,visitor,222,35,35033,968
Lunedì,visitor,222,22,22098,64
Domenica,visitor,222,52,52032,516
Giovedì,visitor,222,108,108009,128
Giovedì,visitor,222,29,29048,512
Domenica,visitor,222,27,27024,2892
Venerdì,visitor,222,89,89017,156
Domenica,visitor,222,20,20030,1016
Sabato,visitor,222,28,28034,2932
Domenica,visitor,222,28,28006,1188
Sabato,visitor,222,35,35040,112
Venerdì,visitor,222,27,27004,3056
Mercoledì,visitor,222,98,98061,44
Martedì,visitor,222,24,24081,212
Lunedì,visitor,222,28,28036,1688
Lunedì,visitor,222,28,28001,14248
Domenica,visitor,222,24,24071,876
Lunedì,visitor,222,28,28044,4620
Sabato,visitor,222,108,108028,276
Lunedì,visitor,222,24,24073,208
Sabato,visitor,222,26,26006,244
Lunedì,visitor,222,26,26006,304
Venerdì,visitor,222,12,12137,60
Mercoledì,visitor,222,15,15118,344
Mercoledì,visitor,222,27,27044,504
Venerdì,visitor,222,39,39007,248
Martedì,visitor,222,72,72029,88
Domenica,visitor,222,22,22180,92
Lunedì,visitor,222,24,24006,692
Martedì,visitor,222,26,26083,268
Lunedì,visitor,222,37,37028,32
Venerdì,visitor,222,19,19036,452
Lunedì,visitor,222,62,62008,116
Giovedì,visitor,222,25,25016,392
Mercoledì,visitor,222,29,29052,936
Sabato,visitor,222,23,23059,244
Sabato,visitor,222,28,28035,1784
Sabato,visitor,222,29,29003,712
Martedì,visitor,222,3,3106,532
Domenica,visitor,222,26,26056,320
Mercoledì,visitor,222,25,25028,104
Giovedì,visitor,222,28,28002,896
Mercoledì,visitor,222,14,14066,44
Mercoledì,visitor,222,1,1171,60
Martedì,visitor,222,12,12133,372
Domenica,visitor,222,24,24074,1144
Martedì,visitor,222,29,29023,128
Lunedì,visitor,222,22,22001,68
Venerdì,visitor,222,26,26088,208
Lunedì,visitor,222,19,19098,44
Lunedì,visitor,222,81,81011,112
Lunedì,visitor,222,12,12119,360
Lunedì,visitor,222,27,27007,180
Sabato,visitor,222,92,92074,48
Martedì,visitor,222,28,28101,2048
Martedì,visitor,222,31,31016,124
Martedì,visitor,222,78,78045,128
